Country;Country Code;Indicator Name;Indicator Code;Year;PPP
Bahamas, The;BHS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;0.939748429764
Bosnia and Herzegovina;BIH;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;0.717488885054
Bosnia and Herzegovina;BIH;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;0.734656677456
Belarus;BLR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;0.117019389571
Belize;BLZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;1.31308867754
Bermuda;BMU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;1.22788171705
Bermuda;BMU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;1.1831429625
Brazil;BRA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;0.97076372126
Brazil;BRA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;0.801815095767
Barbados;BRB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;1.66074651873
Bhutan;BTN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;18.1354026794
Bhutan;BTN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;7.79510710194
Central African Republic;CAF;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;231.872847838
Canada;CAN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;1.230358
Switzerland;CHE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;1.397498
Chile;CHL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2002;296.446431
China;CHN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;3.52446770668
Cote d'Ivoire;CIV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;249.283932673
Cote d'Ivoire;CIV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;198.727498663
Congo, Rep.;COG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;316.625274658
Colombia;COL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;937.021761666
Comoros;COM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;165.373137459
Cabo Verde;CPV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;49.3641433716
Cabo Verde;CPV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;52.785955193
Costa Rica;CRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;342.994307
Curacao;CUW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;1.21122683993
Curacao;CUW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;1.2227976948
Cyprus;CYP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;0.663141322867
Czech Republic;CZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;12.576343
Czech Republic;CZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;5.539975
Czech Republic;CZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;11.179863
Dominican Republic;DOM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;20.1892147064
Egypt, Arab Rep.;EGY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;1.40670126236
Estonia;EST;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;0.533205
Ethiopia;ETH;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;8.05592060089
Finland;FIN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;0.967486
Finland;FIN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;0.95414
France;FRA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;0.987135
Micronesia, Fed. Sts.;FSM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;0.79727721111
Micronesia, Fed. Sts.;FSM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;0.8627732809
United Kingdom;GBR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;0.701691
Georgia;GEO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;0.277116685685
Guinea;GIN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;2932.74707031
Guinea;GIN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;2028.88985558
Greece;GRC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;0.57232
Greece;GRC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;0.708976
Grenada;GRD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;1.78599831899
Guatemala;GTM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;1.78388573044
Guyana;GUY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;17.2568283573
Guyana;GUY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;96.8815521257
Hong Kong SAR, China;HKG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;7.51668103228
Croatia;HRV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;3.54347374379
Croatia;HRV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;3.65430475699
Croatia;HRV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;4.01140637776
Indonesia;IDN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;602.734168843
India;IND;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;14.5993211371
Ireland;IRL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.819041
Ireland;IRL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;0.791876
Ireland;IRL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;0.809337
Ireland;IRL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;0.979542
Iceland;ISL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;76.665861
Iceland;ISL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;70.710816
Iceland;ISL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;84.696713
Israel;ISR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;2.144654
Italy;ITA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.736014
Jamaica;JAM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;9.48822839882
Japan;JPN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;101.004517
Kazakhstan;KAZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;17.6101649397
Kyrgyz Republic;KGZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;7.70895506996
St. Kitts and Nevis;KNA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;2.03761649132
Korea, Rep.;KOR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;869.081422
Korea, Rep.;KOR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;754.89297
Korea, Rep.;KOR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;788.920135
Lao PDR;LAO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;509.7603217
Lao PDR;LAO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;2369.90751115
Lebanon;LBN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;704.58383349
Liberia;LBR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;0.502365157569
Liberia;LBR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;0.539034881828
Liberia;LBR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;0.560399264543
Libya;LBY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;0.676705556448
Libya;LBY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;0.212664313358
St. Lucia;LCA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;1.85760244719
Sri Lanka;LKA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;49.3901367188
Sri Lanka;LKA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;17.7208216192
Lithuania;LTU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;0.492829
Luxembourg;LUX;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;0.95763
Moldova;MDA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;1.77675800982
Moldova;MDA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;3.57738529264
Madagascar;MDG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;1064.3511362
Madagascar;MDG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;246.510173071
North Macedonia;MKD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;20.1212166038
Malta;MLT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.586357806645
Malta;MLT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;0.566726901063
Mauritania;MRT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;4.95949516877
Mauritania;MRT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;3.00390342498
Mauritania;MRT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;2.80504895572
Mauritania;MRT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;4.09946430519
Mauritius;MUS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;9.06732602651
Malaysia;MYS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;1.5942581892
Nigeria;NGA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;73.2585378373
Nigeria;NGA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;25.0984281872
Nicaragua;NIC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;4.82052108759
Netherlands;NLD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;0.917341
Netherlands;NLD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.919286
Norway;NOR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;9.037085
Nepal;NPL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;15.2629343033
New Zealand;NZL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;1.447791
New Zealand;NZL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;1.490709
Oman;OMN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.199446067214
Pakistan;PAK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;33.5965555175
Pakistan;PAK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;5.97306486112
Pakistan;PAK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;6.84244631681
Peru;PER;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;1.74945497513
Peru;PER;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;1.47559466357
Peru;PER;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;0.806325113452
Peru;PER;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;1.41214525548
Philippines;PHL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;8.60613582937
Philippines;PHL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;10.7721607182
Papua New Guinea;PNG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;1.43496803702
Poland;POL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;1.801424
Poland;POL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;1.655067
Puerto Rico;PRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.860421766807
Puerto Rico;PRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;0.859537825918
Puerto Rico;PRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;0.64296831152
Puerto Rico;PRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;0.64179655753
Portugal;PRT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;0.676708
Paraguay;PRY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;2453.15966797
Paraguay;PRY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;464.520141062
Paraguay;PRY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;871.645015571
West Bank and Gaza;PSE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;0.650784095218
West Bank and Gaza;PSE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;0.575389055439
Post-demographic dividend;PST;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;;
Qatar;QAT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;2.18644571304
Romania;ROU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.00587241655879
Romania;ROU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;1.56624225072
Russian Federation;RUS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;19.505592
Rwanda;RWA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;263.453660797
Saudi Arabia;SAU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;0.79952074909
Saudi Arabia;SAU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;0.82993859022
Sudan;SDN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;7.15328829197
Sudan;SDN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;0.19039973597
Sudan;SDN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2002;0.539538502244
Sudan;SDN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;0.580923893441
Solomon Islands;SLB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;1.74158832778
El Salvador;SLV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;0.486892676947
El Salvador;SLV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;0.510317265987
Serbia;SRB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;39.7092304861
Serbia;SRB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;31.324689835
Sao Tome and Principe;STP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;9.98448873998
Sao Tome and Principe;STP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;9.18605899811
Slovak Republic;SVK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2019;0.513491
Slovak Republic;SVK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.485412
Slovak Republic;SVK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2002;0.521518
Slovenia;SVN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.591238
Eswatini;SWZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;4.69001626968
Eswatini;SWZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;0.996669209001
Eswatini;SWZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;3.02224527395
Eswatini;SWZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;3.53381685149
Seychelles;SYC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;7.96867322922
Seychelles;SYC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;7.62468957901
Seychelles;SYC;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;5.61360342755
Chad;TCD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;158.882917733
Togo;TGO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;240.651260376
Thailand;THA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;12.4879426956
Thailand;THA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;10.3314490051
Tajikistan;TJK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;1.26830117003
Timor-Leste;TLS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;0.389450247493
Trinidad and Tobago;TTO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;2.68696667866
Trinidad and Tobago;TTO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;2.63350925411
Turkey;TUR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;1.379575
Tuvalu;TUV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;1.13647575225
Tuvalu;TUV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;0.899947670165
Tuvalu;TUV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2003;1.09943603878
Ukraine;UKR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;0.433086047116
Uruguay;URY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;14.3040061606
Uruguay;URY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;16.9381217957
Uruguay;URY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;11.4248163494
St. Vincent and the Grenadines;VCT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;1.59582412243
Venezuela, RB;VEN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.0178116280178
Vietnam;VNM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;7413.45556641
Vietnam;VNM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;7473.41943359
Vanuatu;VUT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;106.634571461
Vanuatu;VUT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;91.3282086274
Samoa;WSM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;1.64247690335
Yemen, Rep.;YEM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;14.0508738044
Yemen, Rep.;YEM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;18.8718431825
Zambia;ZMB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;4.19258022308
Zimbabwe;ZWE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2014;0.54925185442
Zimbabwe;ZWE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;0.558424472809
Zimbabwe;ZWE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;0.388323186312
Aruba;ABW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;1.19107434131
Angola;AGO;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;66.0193710327
Albania;ALB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2019;40.1452413406
Argentina;ARG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;9.29496574402
Argentina;ARG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.775239997074
Armenia;ARM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;160.209068989
Armenia;ARM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;131.01388417
Azerbaijan;AZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;0.4309014678
Azerbaijan;AZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2007;0.276391295367
Burundi;BDI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;103.690122155
Belgium;BEL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;0.799998
Belgium;BEL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.921111
Benin;BEN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2009;217.551198762
Burkina Faso;BFA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;197.434321938
Bahrain;BHR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;0.114941979649
Bahrain;BHR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;0.181262650707
Bahamas, The;BHS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2019;0.899882581779
Bahamas, The;BHS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2002;0.98249434889
Bosnia and Herzegovina;BIH;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;0.718162098499
Belarus;BLR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;0.373921453953
Belarus;BLR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;8.12235748554e-09
Belize;BLZ;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;1.31767519218
Bermuda;BMU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;1.14189676144
Bolivia;BOL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;1.19357886405
Barbados;BRB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;1.68027181674
Brunei Darussalam;BRN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;0.370378995996
Brunei Darussalam;BRN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;0.412329673778
Brunei Darussalam;BRN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2001;0.431791051416
Botswana;BWA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;4.73384952545
Botswana;BWA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2010;3.27401133918
Botswana;BWA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2012;3.96378684044
Central African Republic;CAF;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;256.761352539
Switzerland;CHE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;1.201964
Chile;CHL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;275.634032
Cote d'Ivoire;CIV;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;250.638244629
Congo, Rep.;COG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;93.1873654458
Colombia;COL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;1276.47937012
Colombia;COL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;1168.24304199
Colombia;COL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;1206.67907715
Comoros;COM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;216.765299178
Costa Rica;CRI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2008;293.014756892
Cayman Islands;CYM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2017;0.973790824413
Cayman Islands;CYM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;0.94153791666
Cyprus;CYP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;0.589957146988
Cyprus;CYP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;0.734248569092
Czech Republic;CZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;12.93798
Czech Republic;CZE;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2007;14.276106
Germany;DEU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;0.714152
Germany;DEU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;0.973221
Germany;DEU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;0.84871
Djibouti;DJI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;104.543287965
Dominica;DMA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;1.79501373405
Denmark;DNK;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;8.662036
Dominican Republic;DOM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1990;3.00977564116
Dominican Republic;DOM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1995;5.64790968425
Algeria;DZA;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1992;5.53218243984
Early-demographic dividend;EAR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;;
Ecuador;ECU;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1997;0.396492499
Egypt, Arab Rep.;EGY;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;3.87218620092
Eritrea;ERI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1996;1.42794975524
Spain;ESP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1993;0.682646
Spain;ESP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;0.739549
Spain;ESP;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;0.769508
Estonia;EST;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1999;0.462332
Estonia;EST;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;0.521489
